,source,target,attributes,relation_type
0,0BHQaRq2r5KhvjgK7EH_lL,052Pcn4gr3MeLNDynAvg$U,{'relation': 'SURROUNDS'},SURROUNDS
1,0BHQaRq2r5KhvjgK7EH_lL,306VrKd99CZgUKpWE8dl3H,{'relation': 'SURROUNDS'},SURROUNDS
2,0BHQaRq2r5KhvjgK7EH_lL,0x_4s9a651tvIPbIaYwQMK,{'relation': 'SURROUNDS'},SURROUNDS
3,0BHQaRq2r5KhvjgK7EH_lL,02Zn$BRYL3wvj_3eCph2Oz,{'relation': 'SURROUNDS'},SURROUNDS
4,0BHQaRq2r5KhvjgK7EH_lL,1YNvoZk656i92Pli8nY3gg,{'relation': 'SURROUNDS'},SURROUNDS
5,0BHQaRq2r5KhvjgK7EH_lL,1_IiUAX7zBcAsxQV2DejBG,{'relation': 'SURROUNDS'},SURROUNDS
6,0BHQaRq2r5KhvjgK7EH_lL,0aVcM5Kwr4JPI5A_n_1LAt,{'relation': 'SURROUNDS'},SURROUNDS
7,0BHQaRq2r5KhvjgK7EH_lL,2J2Td6woH5PeRu_TWxbxjN,{'relation': 'SURROUNDS'},SURROUNDS
8,0BHQaRq2r5KhvjgK7EH_lL,1zjNhFYer9zfDIMimMU7D4,{'relation': 'SURROUNDS'},SURROUNDS
9,0BHQaRq2r5KhvjgK7EH_lL,00RSzeGGT3NhyJ$MGQEZnG,{'relation': 'SURROUNDS'},SURROUNDS
10,0BHQaRq2r5KhvjgK7EH_lL,09OMtCvbHFo8dwsebzW38g,{'relation': 'SURROUNDS'},SURROUNDS
11,0BHQaRq2r5KhvjgK7EH_lL,3H06pJkAbAEASm5PigLf7f,{'relation': 'SURROUNDS'},SURROUNDS
12,0BHQaRq2r5KhvjgK7EH_lL,0M9ROuolX9zuLBikH0ucCq,{'relation': 'SURROUNDS'},SURROUNDS
13,2B3xGODV19r8UMvKyleCCT,12jdfZBcH1vxizRI9GUkDn,{'relation': 'SURROUNDS'},SURROUNDS
14,2B3xGODV19r8UMvKyleCCT,0sYD5uy9L8CA$EGB4dQ5kV,{'relation': 'SURROUNDS'},SURROUNDS
15,2B3xGODV19r8UMvKyleCCT,2H1bZd7j5EruSXJ99aed2g,{'relation': 'SURROUNDS'},SURROUNDS
16,2B3xGODV19r8UMvKyleCCT,2WPbYWshr91BdLG0qFSNY2,{'relation': 'SURROUNDS'},SURROUNDS
17,2B3xGODV19r8UMvKyleCCT,31d_fRwl55NQydNUHnovec,{'relation': 'SURROUNDS'},SURROUNDS
18,2B3xGODV19r8UMvKyleCCT,28aY$FFWX7pBxebs0wlc6O,{'relation': 'SURROUNDS'},SURROUNDS
19,2B3xGODV19r8UMvKyleCCT,373tuwaKD9EQcOAS26_PJO,{'relation': 'SURROUNDS'},SURROUNDS
20,2B3xGODV19r8UMvKyleCCT,0td5R2EFv4veX85zxnlfc_,{'relation': 'SURROUNDS'},SURROUNDS
