,GlobalId,Name,LongName,Description,ObjectType,IfcType,IsExternal,GrossPlannedArea,PubliclyAccessible,HandicapAccessible,Height,FinishCeilingHeight,GrossPerimeter,NetPerimeter,GrossFloorArea,NetFloorArea,GrossCeilingArea,NetCeilingArea,GrossVolume,NetVolume,age,persona,ownership,persona_encoded,ownership_encoded,LocationX,LocationY,LocationZ,category,key,type,type_encoded,orientation,orientation_encoded,in_out,in_out_encoded,inc_rad,sun_h,wind_exp,usability,usability_encoded,green_suitability,green_suitability_encoded,longest edge length,activity,activity_encoded,Tag,SolarRad,LoadBearing,Compartmentation,Length,Width,GrossFootprintArea,Perimeter,GrossArea,NetArea
0BHQaRq2r5KhvjgK7EH_lL,0BHQaRq2r5KhvjgK7EH_lL,N/A,LVL1_1B_81,N/A,N/A,IfcSpace,True,18.0000007152557,False,True,3.0,3.0,18.0000002384186,18.0000002384186,18.0000007152557,18.0000007152557,18.0000007152557,18.0000007152557,54.0000021457672,54.0000021457672,35.0,night_owls,Owner,7.0,0.0,-4.35804,31.576096,4.5,IfcSpace,0.0,N/A,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,N/A,0.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
2B3xGODV19r8UMvKyleCCT,2B3xGODV19r8UMvKyleCCT,N/A,LVL1_1B_82,N/A,N/A,IfcSpace,True,18.0000007152557,False,True,3.0,3.0,18.0000002384186,18.0000002384186,18.0000007152557,18.0000007152557,18.0000007152557,18.0000007152557,54.0000021457672,54.0000021457672,34.0,young_professionals,Tenant,10.0,1.0,-20.85804,21.076096,4.5,IfcSpace,0.0,N/A,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,N/A,0.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
38qgEd$TH35BPvBGUtCK$_,38qgEd$TH35BPvBGUtCK$_,N/A,LVL1_1B_105,N/A,N/A,IfcSpace,True,18.0000007152557,False,True,3.0,3.0,18.0000002384186,18.0000002384186,18.0000007152557,18.0000007152557,18.0000007152557,18.0000007152557,54.0000021457672,54.0000021457672,52.0,musicians,Owner,6.0,0.0,-4.35804,58.576096,4.5,IfcSpace,0.0,N/A,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,N/A,0.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
0o8cIOrgTC2vnxokhVy4qc,0o8cIOrgTC2vnxokhVy4qc,N/A,LVL1_1B_106,N/A,N/A,IfcSpace,True,18.0000007152557,False,True,3.0,3.0,18.0000002384186,18.0000002384186,18.0000007152557,18.0000007152557,18.0000007152557,18.0000007152557,54.0000021457672,54.0000021457672,32.0,night_owls,Owner,7.0,0.0,-4.35804,70.576096,4.5,IfcSpace,0.0,N/A,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,N/A,0.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
1vJ8uvC7r34uavHNr5WtbN,1vJ8uvC7r34uavHNr5WtbN,N/A,LVL1_1B_107,N/A,N/A,IfcSpace,True,18.0000007152557,False,True,3.0,3.0,18.0000002384186,18.0000002384186,18.0000007152557,18.0000007152557,18.0000007152557,18.0000007152557,54.0000021457672,54.0000021457672,29.0,influencers,Owner,5.0,0.0,-13.35804,67.576096,4.5,IfcSpace,0.0,N/A,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,N/A,0.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
0JF$7400X4APsyQPvHRgt9,0JF$7400X4APsyQPvHRgt9,N/A,LVL1_1B_108,N/A,N/A,IfcSpace,True,18.0000007152557,False,True,3.0,3.0,18.0000002384186,18.0000002384186,18.0000007152557,18.0000007152557,18.0000007152557,18.0000007152557,54.0000021457672,54.0000021457672,59.0,active_later_living,Tenant,2.0,1.0,-40.35804,61.576096,4.5,IfcSpace,0.0,N/A,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,N/A,0.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
09GMmPmF55FBsVX0Cbt9gj,09GMmPmF55FBsVX0Cbt9gj,N/A,LVL1_1B_109,N/A,N/A,IfcSpace,True,18.0000007152557,False,True,3.0,3.0,18.0000002384186,18.0000002384186,18.0000007152557,18.0000007152557,18.0000007152557,18.0000007152557,54.0000021457672,54.0000021457672,64.0,active_later_living,Owner,2.0,0.0,-26.85804,75.076096,4.5,IfcSpace,0.0,N/A,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,N/A,0.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
1fx1A3jAX0RPaL$$CuY6V0,1fx1A3jAX0RPaL$$CuY6V0,N/A,LVL2_1B_45,N/A,N/A,IfcSpace,True,18.0000007152557,False,True,3.0,3.0,18.0000002384186,18.0000002384186,18.0000007152557,18.0000007152557,18.0000007152557,18.0000007152557,54.0000021457672,54.0000021457672,24.0,sporties,Tenant,8.0,1.0,-8.85804,18.076096,7.5,IfcSpace,0.0,N/A,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,N/A,0.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
3FCkINcyHF$OZeRJNrWRpQ,3FCkINcyHF$OZeRJNrWRpQ,N/A,LVL2_1B_48,N/A,N/A,IfcSpace,True,18.0000007152557,False,True,3.0,3.0,18.0000002384186,18.0000002384186,18.0000007152557,18.0000007152557,18.0000007152557,18.0000007152557,54.0000021457672,54.0000021457672,35.0,influencers,Owner,5.0,0.0,-17.85804,18.076096,7.5,IfcSpace,0.0,N/A,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,N/A,0.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
0fwfwy8rL2YfIsgIswBkJw,0fwfwy8rL2YfIsgIswBkJw,N/A,LVL2_1B_60,N/A,N/A,IfcSpace,True,18.0000007152557,False,True,3.0,3.0,18.0000002384186,18.0000002384186,18.0000007152557,18.0000007152557,18.0000007152557,18.0000007152557,54.0000021457672,54.0000021457672,67.0,active_later_living,Tenant,2.0,1.0,-2.85804,39.076096,7.5,IfcSpace,0.0,N/A,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,N/A,0.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
