iteration,key,type,orientation,height,area,level,open_side,in_out,inc_rad,sun_h,wind_exp,utci,neigh_dist,usability,green_suitability,compactness,types touching,neighbours touching,bounding area ratio,cos(angle_in_radians),sin(angle_in_radians),edge count,longest edge length,activtiy
1,1,terrace,SE,3,36,1,2,outdoor,914.72,12.04,3.22,25.8,28.97,warm_sunny,suitable,25,2,2,0.67,-0.8537961760541943,0.5206074238379964,6,9,"Offline Retreat,  Sunbath,  Healing Garden,  Playground,  Sports,  Outdoor Cinema/Event Space,  Community Pool/BBQ,  Flexible Space,  Outdoor Meeting Space,  Urban Agriculture Garden,  Viewpoint"
1,2,balcony,S,3,9,1,1,outdoor,131.26,3.77,3.34,25.5,178.3,warm_sunny,suitable,16,2,2,1,-0.9529257795159616,0.303203658839891,4,3,"Residents Space,  Sunbath,  Biodiversity balcony"
1,3,terrace,S,3,18,1,1,outdoor,315.09,5.44,3.34,25.9,178.18,warm_sunny,suitable,18,1,2,1,-0.9958932063055186,0.09053574782655616,4,6,"Sunbath,  Sports,  Flexible Space,  Outdoor Meeting Space"
1,4,balcony,E,3,9,1,1,outdoor,169.66,10.21,4.88,25.2,19.34,cool_breezy,suitable,16,2,2,1,-0.7327934916262991,0.6804510993672779,4,3,Residents Space
1,5,balcony,E,3,9,1,1,indoor,0,0,4.88,24.3,3,cool_breezy,not_suitable,16,1,2,1,-0.8944271899844489,0.44721359753089185,4,3,Residents Space
1,6,balcony,E,3,9,1,1,outdoor,169.66,10.21,4.88,25.1,19.58,cool_breezy,suitable,16,2,2,1,-0.6097107608496922,0.7926239891046002,4,3,Residents Space
1,7,terrace,SE,3,18,1,2,outdoor,315.09,5.44,3.22,25.8,178.04,warm_sunny,suitable,18,1,2,1,-0.9838699104126714,0.17888543647978183,4,6,"Offline Retreat,  Sunbath,  Healing Garden,  Sports,  Outdoor Cinema/Event Space,  Flexible Space,  Outdoor Meeting Space,  Urban Agriculture Garden,  Viewpoint"
1,8,balcony,N,3,9,1,1,outdoor,10.56,0,3.71,24.8,42,comfortable,not_suitable,16,2,2,1,-0.9778024135088088,0.20952909138434303,4,3,Residents Space
1,9,balcony,SW,3,9,1,2,outdoor,31.31,1.04,4.65,25,3,cool_breezy,not_suitable,16,1,2,1,-0.9230769219917223,0.3846153872198665,4,3,Biodiversity balcony
1,10,terrace,W,3,18,1,1,outdoor,185.51,5.01,3.3,25.7,15,warm_sunny,suitable,18,1,2,1,-0.8137334690219469,0.5812381967777996,4,6,"Offline Retreat,  Sunbath,  Healing Garden,  Sports,  Outdoor Cinema/Event Space,  Flexible Space,  Outdoor Meeting Space"
1,11,balcony,E,3,9,1,1,indoor,0,0,4.88,24.3,3,cool_breezy,not_suitable,16,1,2,1,-0.9778024146460101,0.20952908607740356,4,3,Residents Space
1,12,terrace,SW,3,36,1,2,outdoor,735.5899999999999,7.74,4.65,25.5,24.99,warm_sunny,suitable,25,1,2,0.67,-0.881784642612485,0.4716522490699817,6,9,Urban Agriculture Garden
1,13,balcony,W,3,9,1,1,indoor,0,0,3.3,24.3,0,comfortable,not_suitable,16,1,2,1,-0.17888543757445544,0.9838699102136398,4,3,Residents Space
1,14,balcony,W,3,9,1,1,indoor,0,0,3.3,24.3,3,comfortable,not_suitable,16,1,2,1,-0.8944271920153831,0.4472135934690235,4,3,Residents Space
1,15,balcony,E,3,9,1,1,outdoor,169.66,10.21,4.88,25.2,19.93,cool_breezy,suitable,16,1,2,1,6.123233995736766E-17,1,4,3,Residents Space
1,16,terrace,W,3,18,1,1,outdoor,195.14,5.54,3.3,25.7,15,warm_sunny,suitable,18,2,2,1,-0.19611613363953875,0.9805806759906492,4,6,"Offline Retreat,  Sunbath,  Healing Garden,  Sports,  Outdoor Cinema/Event Space,  Flexible Space,  Outdoor Meeting Space"
1,17,terrace,W,3,18,1,1,outdoor,202.07999999999998,5.66,3.3,25.7,26.06,warm_sunny,suitable,18,1,2,1,-0.755689083780602,0.6549305372746291,4,6,"Offline Retreat,  Sunbath,  Healing Garden,  Sports,  Outdoor Cinema/Event Space,  Flexible Space,  Outdoor Meeting Space"
1,18,balcony,E,3,9,1,1,outdoor,169.66,10.21,4.88,25.2,20.04,cool_breezy,suitable,16,2,2,1,0.2940858488375229,0.9557790087219501,4,3,Residents Space
1,19,balcony,NW,3,9,1,2,outdoor,87.86,5.38,3.3,25.3,0,comfortable,suitable,16,1,1,1,-0.6097107620205491,0.7926239882039411,4,3,"Residents Space,  Offline Retreat,  Sunbath,  Biodiversity balcony,  Viewpoint"
1,20,balcony,W,3,9,1,1,outdoor,85.06,5.29,3.3,25.4,15,comfortable,suitable,16,1,2,1,0.6246950445272106,0.7808688118648013,4,3,"Residents Space,  Offline Retreat,  Sunbath,  Biodiversity balcony"
1,21,balcony,E,3,9,1,1,outdoor,169.66,10.21,4.88,25.1,20.45,cool_breezy,suitable,16,2,2,1,0.5240974256643345,0.851658316704544,4,3,Residents Space
1,22,balcony,W,3,9,1,1,outdoor,85.06,5.29,3.3,25.4,15,comfortable,suitable,16,1,2,1,0.8479983021120302,0.5299989430320724,4,3,"Residents Space,  Offline Retreat,  Sunbath,  Biodiversity balcony"
1,23,balcony,SW,3,9,1,2,outdoor,87.86,5.38,4.65,25.4,0,cool_breezy,suitable,16,1,1,1,-0.4190581785177194,0.9079593840130797,4,3,Biodiversity balcony
1,24,balcony,W,3,9,1,1,outdoor,87.86,5.38,3.3,25.4,25.52,comfortable,suitable,16,1,2,1,-0.15205718470798005,0.988371697580765,4,3,"Residents Space,  Offline Retreat,  Sunbath,  Biodiversity balcony"
1,25,balcony,W,3,9,1,1,outdoor,83.21,5.29,3.3,25.3,9,comfortable,suitable,16,1,2,1,0.9230769219917223,0.38461538721986643,4,3,"Residents Space,  Offline Retreat,  Sunbath,  Biodiversity balcony"
1,26,balcony,W,3,9,1,1,indoor,0,0,3.3,24.3,0,comfortable,not_suitable,16,2,2,1,0.8240419232439581,0.5665288242767518,4,3,Residents Space
