type,orientation,area,level,open_side,in_out,compactness,types touching,neighbours touching,bounding area ratio,core distance,cos(angle_in_radians),sin(angle_in_radians),edge count,longest edge length
balcony,E,9,1,1,outdoor,16,2,2,1,12.369316686964163,0.7498378553650924,0.6616216370868464,4,3
terrace,N,18,1,1,outdoor,18,2,2,1,7.499999934152873,0.9852117548196746,0.17134117475124705,4,6
balcony,E,9,1,1,outdoor,16,2,2,1,6.7082037721543974,0.6549305384178417,0.7556890827898178,4,3
balcony,W,9,1,1,outdoor,16,2,2,1,12.369317066741782,0.9061831399952655,0.4228854653311238,4,3
balcony,N,9,1,1,outdoor,16,2,2,1,9.486832975871362,0.9990561583550596,0.04343722427630645,4,3
terrace,E,18,1,1,outdoor,18,2,2,1,3.354102120041513,0.4705882352941174,0.8823529411764707,4,6
balcony,W,9,1,1,outdoor,16,2,2,1,9.486832850935205,0.8436614877321074,0.5368754921931594,4,3
balcony,W,9,1,1,outdoor,16,2,2,1,10.81665388930828,0.5812381937190959,0.8137334712067353,4,3
terrace,W,18,1,1,outdoor,18,1,2,1,14.773286482045128,6.123233995736766E-17,1,4,6
balcony,E,9,1,1,outdoor,16,2,2,1,8.99999993415287,0.8502651466878619,0.5263546146162953,4,3
terrace,E,18,1,1,outdoor,18,1,2,1,10.920165056040661,0.1321637200910177,0.9912279006826347,4,6
terrace,E,18,1,1,outdoor,18,1,2,1,9.604686231587431,-0.25766265056033294,0.9662349396012462,4,6
terrace,W,18,1,1,outdoor,18,1,2,1,7.499999820005449,-0.6507913734559689,0.7592566023652962,4,6
balcony,W,9,1,1,outdoor,16,2,2,1,10.816653613309901,0.6549305384178418,0.7556890827898176,4,3
terrace,E,18,1,1,outdoor,18,1,2,1,6.184658553772391,-0.5547001962252293,0.8320502943378435,4,6
terrace,W,18,1,1,outdoor,18,1,2,1,6.184658323080622,0.4705882352941174,0.8823529411764707,4,6
balcony,N,9,1,1,outdoor,16,2,2,1,6.708203713258933,0.9408874118687267,0.3387194682727419,4,3
terrace,W,18,1,1,outdoor,18,1,2,1,7.500000074639103,-0.8637789008984336,0.5038710255240859,4,6
balcony,W,9,1,1,outdoor,16,2,2,1,8.48528147772192,0.1961161351381838,0.9805806756909202,4,3
terrace,E,18,1,1,outdoor,18,1,2,1,12.093386839353755,-0.729537204140085,0.6839411288813299,4,6
balcony,N,9,1,0,indoor,16,2,3,1,12.000000065847154,-0.9246780984747159,0.3807498052542951,4,3
balcony,W,9,1,1,outdoor,16,2,2,1,18.973666141493137,-0.3162277660168382,0.9486832980505137,4,3
balcony,S,9,1,1,indoor,16,2,2,1,6.708204086291216,-0.9877629653290689,0.15596257347301176,4,3
terrace,W,18,1,1,outdoor,18,1,2,1,23.478713609955946,-0.5547001962252293,0.8320502943378435,4,6
balcony,NE,9,1,2,outdoor,16,1,2,1,5.99999993415285,-0.9593655015712708,0.28216632399154956,4,3
terrace,S,18,1,1,outdoor,18,2,2,1,18.062392058377714,-0.952424147199324,0.3047757271037845,4,6
balcony,W,9,1,1,indoor,16,2,2,1,11.999999934152846,-0.8837879163470618,0.4678877204190328,4,3
balcony,S,9,1,1,outdoor,16,1,2,1,13.416408084239201,-0.992876838486922,0.1191452206184313,4,3
balcony,W,9,1,1,outdoor,16,2,2,1,21.213203340402206,-0.7071067811865478,0.7071067811865472,4,3
balcony,S,9,1,1,outdoor,16,1,2,1,12.000000212194713,-0.9992009587217894,0.03996803834887288,4,3
balcony,SE,9,1,2,outdoor,16,1,2,1,13.416408025343717,-0.9805806756909201,0.19611613513818427,4,3
balcony,W,9,1,1,outdoor,16,1,2,1,21.213203400419935,-0.7848827655334264,0.6196442885790205,4,3
balcony,S,9,1,1,outdoor,16,1,2,1,16.970562851960494,-0.9408874118687268,0.33871946827274174,4,3
courtyard,NW,171,2,2,outdoor,76,6,11,0.68,10.554173745516222,0.47312663795681326,0.8809944292988932,18,42
