resident,space,activity,distance,weight
H8,O1,Healing Garden,4.26,0.0713
H8,O1,Green Corridor,4.26,0.057
H8,O1,Sunbath,4.26,0.0114
H8,O1,Community Pool/BBQ,4.26,0.0856
H8,O1,Sports,4.26,0.057
H8,O1,Residents Space,4.26,0.0029
H27,O1,Outdoor Cinema/Event Space,6.91,0.0759
H27,O1,Creative Corridor,6.91,0.0379
H27,O1,Viewpoint,6.91,0.0126
H27,O1,Residents Space,6.91,0.0126
H27,O1,Community Pool/BBQ,6.91,0.0885
H27,O1,Outdoor Meeting Room,6.91,0.0253
H26,O1,Creative Corridor,11.25,0.0571
H26,O1,Flexible Space,11.25,0.0408
H26,O1,Outdoor Meeting Room,11.25,0.031
H26,O1,Urban Agriculture Garden,11.25,0.0163
H26,O1,Offline Retreat,11.25,0.0082
H26,O1,Residents Space,11.25,0.0016
H29,O1,Offline Retreat,13.52,0.0275
H29,O1,Outdoor Meeting Room,13.52,0.0344
H29,O1,Flexible Space,13.52,0.0193
H29,O1,Creative Corridor,13.52,0.0275
H29,O1,Viewpoint,13.52,0.0207
H29,O1,Healing Garden,13.52,0.0069
H29,O1,Residents Space,13.52,0.0014
H9,O1,Playground,13.81,0.0101
H9,O1,Sports,13.81,0.0506
H9,O1,Community Pool/BBQ,13.81,0.0304
H9,O1,Sunbath,13.81,0.0041
H9,O1,Viewpoint,13.81,0.0051
H9,O1,Residents Space,13.81,0.001
H26,O2,Creative Corridor,3.75,0.1474
H26,O2,Flexible Space,3.75,0.1053
H26,O2,Outdoor Meeting Room,3.75,0.08
H26,O2,Urban Agriculture Garden,3.75,0.0421
H26,O2,Offline Retreat,3.75,0.0211
H26,O2,Residents Space,3.75,0.0042
H8,O2,Healing Garden,4.47,0.0686
H8,O2,Green Corridor,4.47,0.0548
H8,O2,Sunbath,4.47,0.011
H8,O2,Community Pool/BBQ,4.47,0.0823
H8,O2,Sports,4.47,0.0548
H8,O2,Residents Space,4.47,0.0027
H29,O2,Offline Retreat,10.2,0.0357
H29,O2,Outdoor Meeting Room,10.2,0.0446
H29,O2,Flexible Space,10.2,0.025
H29,O2,Creative Corridor,10.2,0.0357
H29,O2,Viewpoint,10.2,0.0268
H29,O2,Healing Garden,10.2,0.0089
H29,O2,Residents Space,10.2,0.0018
H27,O2,Outdoor Cinema/Event Space,11.25,0.049
H27,O2,Creative Corridor,11.25,0.0245
H27,O2,Viewpoint,11.25,0.0082
H27,O2,Residents Space,11.25,0.0082
H27,O2,Community Pool/BBQ,11.25,0.0571
H27,O2,Outdoor Meeting Room,11.25,0.0163
H28,O2,Outdoor Cinema/Event Space,12.21,0.0454
H28,O2,Creative Corridor,12.21,0.0227
H28,O2,Viewpoint,12.21,0.0076
H28,O2,Residents Space,12.21,0.0076
H28,O2,Community Pool/BBQ,12.21,0.053
H28,O2,Outdoor Meeting Room,12.21,0.0151
H26,O3,Creative Corridor,5.03,0.1161
H26,O3,Flexible Space,5.03,0.0829
H26,O3,Outdoor Meeting Room,5.03,0.063
H26,O3,Urban Agriculture Garden,5.03,0.0332
H26,O3,Offline Retreat,5.03,0.0166
H26,O3,Residents Space,5.03,0.0033
H28,O3,Outdoor Cinema/Event Space,5.03,0.0995
H28,O3,Creative Corridor,5.03,0.0498
H28,O3,Viewpoint,5.03,0.0166
H28,O3,Residents Space,5.03,0.0166
H28,O3,Community Pool/BBQ,5.03,0.1161
H28,O3,Outdoor Meeting Room,5.03,0.0332
H2,O3,Playground,10.61,0.0086
H2,O3,Sports,10.61,0.0431
H2,O3,Community Pool/BBQ,10.61,0.0258
H2,O3,Sunbath,10.61,0.0034
H2,O3,Viewpoint,10.61,0.0043
H2,O3,Residents Space,10.61,0.0009
H29,O3,Offline Retreat,10.74,0.0341
H29,O3,Outdoor Meeting Room,10.74,0.0426
H29,O3,Flexible Space,10.74,0.0239
H29,O3,Creative Corridor,10.74,0.0341
H29,O3,Viewpoint,10.74,0.0256
H29,O3,Healing Garden,10.74,0.0085
H29,O3,Residents Space,10.74,0.0017
H8,O3,Healing Garden,11.67,0.0296
H8,O3,Green Corridor,11.67,0.0237
H8,O3,Sunbath,11.67,0.0047
H8,O3,Community Pool/BBQ,11.67,0.0355
H8,O3,Sports,11.67,0.0237
H8,O3,Residents Space,11.67,0.0012
H27,O4,Outdoor Cinema/Event Space,3.75,0.1263
H27,O4,Creative Corridor,3.75,0.0632
H27,O4,Viewpoint,3.75,0.0211
H27,O4,Residents Space,3.75,0.0211
H27,O4,Community Pool/BBQ,3.75,0.1474
H27,O4,Outdoor Meeting Room,3.75,0.0421
H9,O4,Playground,4.47,0.0274
H9,O4,Sports,4.47,0.1371
H9,O4,Community Pool/BBQ,4.47,0.0823
H9,O4,Sunbath,4.47,0.011
H9,O4,Viewpoint,4.47,0.0137
H9,O4,Residents Space,4.47,0.0027
H1,O4,Flexible Space,9.12,0.0099
H1,O4,Community Pool/BBQ,9.12,0.0395
H1,O4,Outdoor Cinema/Event Space,9.12,0.0247
H1,O4,Viewpoint,9.12,0.0099
H1,O4,Offline Retreat,9.12,0.0089
H1,O4,Residents Space,9.12,0.001
H8,O4,Healing Garden,11.18,0.0308
H8,O4,Green Corridor,11.18,0.0246
H8,O4,Sunbath,11.18,0.0049
H8,O4,Community Pool/BBQ,11.18,0.0369
H8,O4,Sports,11.18,0.0246
H8,O4,Residents Space,11.18,0.0012
H30,O4,Offline Retreat,11.45,0.0321
H30,O4,Outdoor Meeting Room,11.45,0.0402
H30,O4,Flexible Space,11.45,0.0225
H30,O4,Creative Corridor,11.45,0.0321
H30,O4,Viewpoint,11.45,0.0241
H30,O4,Healing Garden,11.45,0.008
H30,O4,Residents Space,11.45,0.0016
H29,O5,Offline Retreat,3.75,0.0842
H29,O5,Outdoor Meeting Room,3.75,0.1053
H29,O5,Flexible Space,3.75,0.0589
H29,O5,Creative Corridor,3.75,0.0842
